Timestamp,What is your job description at MIT?,What is your department/institute?,What is your current funding status?,Are you currently a parent?,Are you the birthing parent?,How many children do you have?,Has your position at MIT and/or MIT policies on childcare and parental leave influenced your decision on whether or not you will have children while a postdoc at this university?,Is your child enrolled at an MIT daycare?,[If applicable] How long were you/have you been on the waitlist for an MIT daycare center?,Would a spot at an MIT childcare center be your top choice? (above and beyond non-MIT childcare centers),"If you took parental leave: how long?
If you plan on taking parental leave: how long?",What percentage of your parental leave was paid?,"As a family, do you feel financially secure to support all of your needs?","Does your family (parents, siblings etc.) offer you any support, either financially or by helping you out at home?","On a scale of 1-5, how supportive has your PI been during your pregnancy [if applicable] and leave?","On a scale of 1-5, how supportive has MIT been during your pregnancy [if applicable] and leave?",What policies could MIT adopt that would make your life as a parent or parent-to-be easier?,Is there anything else you would like MIT leadership to know about being a postdoc parent or parent-to-be at MIT?
3/14/2023 9:43:11,Postdoctoral Associate,CEE,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,"Yes! The very generous parental leave policy was a big factor for me. I will say, however that childcare options at MIT would have been very difficult to navigate for me: I will be moving to a new position before I need full time care for my child",Currently on waitlist,Appz 5 months,,I am on leave now and taking the full 20 weeks,10,,Yes - they help out both financially and at home,5,5,,
4/20/2023 13:09:01,Postdoctoral Fellow,Brain and Cognitive Sciences/McGovern,Combination of Both,No,Not applicable,,Yes: I feel that I have neither the income necessary nor the time given the demands of this position,,,,,,,,,,,
4/27/2023 9:23:56,Postdoctoral Fellow,BCS,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,No,0,yes,,,,,,,,,,,
4/27/2023 9:46:03,Postdoctoral Fellow,physics,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,1,no,Yes,10-12 months,Yes,5 months,10,Yes,No,5,4,"As a postdoc with a limited time at MIT, it would have been reassuring to know earlier that my child was accepted at MIT daycare. Instead we only knew one month in advance and this added a high degree of insecurity and a lot of work towards securing places at other daycares and considering other options. ","The lactation rooms are present but not all ideal. You have to contact different people for different lactation rooms. Not all have all the equipment necessary (sink, fridge, pump). A more standardized setup would have been beneficial."
4/27/2023 10:03:40,Postdoctoral Fellow,Picower,Combination of Both,No,No,0,The very small leave duration is influencing my partner and I to consider leaving for a different country.,,,,,,,,,,,"In Canada, there is 1 YEAR (combined between two parents) of parental leave"
4/27/2023 10:38:53,Postdoctoral Fellow,picower\brain and cognitive science,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,2,no,Yes,4-6 months,Yes,didn't take yet,,No,Yes - they offer financial support,,,"i want to suggest standerizing a day off that can be given once a month\3 month\6 month for childcare related issues (forms, doctor appointments ect). i find my self asking for a day off for these purposes and i feel very not comfortable doing it, as all other postdocs almost never take days off.  ","i think a general aggravation in post doc positions is that fellows are not entitled for pension. postdoc in recent years become longer and candidates are older, hance not having pension is an issue that needs to be addressed.     "
4/27/2023 11:56:26,Postdoctoral Fellow,BE,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",No,Yes,0,YES,No,,Yes,"hmm good question, idk tbh",,,No,,,anything would help,it's literally almost impossible
4/27/2023 12:11:27,Postdoctoral Fellow,cee,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,Not applicable,0,"Yes. Being a postdoc is too stressful and too busy, plus the pay is too low to having a child.",,,,,,,,,,,
4/27/2023 12:28:33,Postdoctoral Fellow,EECS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",Yes,Yes,1,Yes. ,Yes,longer than 12 months,Yes,"I was only offered 12 weeks of leave. I did not know that I could take 20 weeks, and would have done this if this were communicated to me.",10,Yes,No,4,4,"The leave policies between postdoctoral associates and fellows are not very clear. As a new postdoc on a fellowship, I did not know how much leave I would have, and the bonding leave mentioned in this survey that would bring the total leave up to 20 weeks was never communicated to me. I received 12 weeks of leave, but this was not quite enough after having a very traumatic birth, major surgery, and taking care of a premie baby. I wish additional time would be given for birth parents who are recovering from a C-section, or the parents of premature babies - since these cases are can be more strenuous and time demanding. ","The MIT TCC daycare is amazing and we love it, however the waitlist is too long. We desperately need more daycare slots and shorter waitlists. We were on the waitlist for over a year before getting our spot, which meant that my leave was over and I needed to return to my postdoctoral duties while I did not have access to childcare. This is an impossible situation and a recipe for disaster. If MIT cares about working parents, the daycare waitlist times need to be shorter. "
4/27/2023 12:32:47,Postdoctoral Associate,Koch Institute,"External Fellowship (e.g., NSF, corporate sponsorship etc.)",Yes,Yes,1,no,Currently on waitlist,10-12 months,Yes,,,No,No,,,"Better subsidies for childcare, better communication about the daycare availability, cheaper tuition, increase in the postdoc salary to match HHMI minimum, provide relocation funds particularly to the incoming postdocs with the family
",
4/27/2023 12:33:03,Postdoctoral Associate,Chemistry,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",I'm expecting / My partner is expecting a baby,Yes,0,Yes,No,,Yes,16 -20 weeks,,No,No,,,More accessible childcare,The cost of childcare makes it hard to continue to be a postdoc at MIT. 
4/27/2023 13:04:46,Postdoctoral Associate,IDSS,"Internal MIT funding (e.g., PI grants, institute fellowship etc.)",No,No,0,"Delayed having a family. Caused stress and uncertainty. Simply, we couldn't afford it during the postdoc years. Housing costs and extreme childcare costs made it unattainable relative to the limited postdoc income.",,,,,,,,,,,There are a large number of postdocs who want to have a family but put it off because of the conditions. We are stuck in limbo and can't begin moving forward with our lives.
